Rank,NAME,Total Population,Median Income,Total households,Pct No Vehicle Available,No Vehicle Available,Transit Count,Total Workers,Public Transit Share
1,"New York-Newark-Jersey City, NY-NJ",19940274.0,88804.0,7486828.0,0.31443209327100874,2354099.0,2379442.0,9489184.0,0.2507530679139534
2,"Los Angeles-Long Beach-Anaheim, CA",12927614.0,90845.0,4583939.0,0.08002811555738416,366844.0,219191.0,6267171.0,0.03497447253314135
3,"Chicago-Naperville-Elgin, IL-IN",9406924.0,76753.0,3690402.0,0.12853369361928593,474341.0,381364.0,4625828.0,0.08244232167732998
4,"Dallas-Fort Worth-Arlington, TX",8344032.0,86593.0,3012855.0,0.054382968977929574,163848.0,31254.0,3936306.0,0.007939931499227957
5,"Houston-Pasadena-The Woodlands, TX",7796182.0,118690.0,2768708.0,0.06391717725379491,176968.0,54345.0,3424978.0,0.01586725520572687
6,"Miami-Fort Lauderdale-West Palm Beach, FL",6457988.0,84789.0,2382154.0,0.08008382329605894,190772.0,72755.0,2991554.0,0.02432013595609506
7,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6437907.0,104499.0,2415530.0,0.11000774157224294,265727.0,262027.0,3321995.0,0.0788763980680284
8,"Atlanta-Sandy Springs-Roswell, GA",6409047.0,101967.0,2390346.0,0.05372736833914421,128427.0,54159.0,3052086.0,0.017744912823557397
9,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6330422.0,89562.0,2505818.0,0.12386095079530916,310373.0,200411.0,3063340.0,0.06542238210580609
10,"Phoenix-Mesa-Chandler, AZ",5186958.0,120362.0,1967378.0,0.053870176448044045,105983.0,27924.0,2365018.0,0.01180709829692628
11,"Boston-Cambridge-Newton, MA-NH",5025517.0,108155.0,1970240.0,0.12525326863732336,246779.0,234560.0,2618891.0,0.08956462869206851
12,"Riverside-San Bernardino-Ontario, CA",4744214.0,115044.0,1484661.0,0.045908123133833245,68158.0,16402.0,2016055.0,0.008135690742564067
13,"San Francisco-Oakland-Fremont, CA",4648486.0,147017.0,1770425.0,0.13143228320883404,232691.0,245060.0,2369040.0,0.10344274474048559
14,"Detroit-Warren-Dearborn, MI",4400578.0,88750.0,1777768.0,0.08060106830587568,143290.0,21733.0,2019337.0,0.0107624433167916
15,"Seattle-Tacoma-Bellevue, WA",4145494.0,100529.0,1658652.0,0.0948221809035289,157277.0,121444.0,2088562.0,0.05814718452217363
16,"Minneapolis-St. Paul-Bloomington, MN-WI",3757952.0,128163.0,1508526.0,0.07584025731077887,114407.0,50376.0,1954889.0,0.02576923804880993
17,"Tampa-St. Petersburg-Clearwater, FL",3424560.0,80513.0,1377328.0,0.06340610225015392,87331.0,12485.0,1532330.0,0.008147722749016205
18,"San Diego-Chula Vista-Carlsbad, CA",3298799.0,145273.0,1185092.0,0.05786301822980832,68573.0,35317.0,1627877.0,0.021695128071715492
19,"Denver-Aurora-Centennial, CO",3050512.0,145410.0,1265606.0,0.05842497586136602,73943.0,42347.0,1631213.0,0.02596043557769586
20,"Orlando-Kissimmee-Sanford, FL",2940513.0,108130.0,1095333.0,0.05370604190689041,58826.0,14267.0,1336329.0,0.010676263105866893
