UZA_Name,UACE_Code,Report_Year,UZA_Area(Sq Miles),UZA_Pop,Service_Area(Sq Miles),Service_Area_Pop,Time_Period,VRM,VRH,UPT
"New York--Jersey City--Newark, NY--NJ",63217,2024,3248.12,19426449.0,13.0,33275.0,Annual Total,819147814.0,55272093.0,3575842878.0
"Los Angeles--Long Beach--Anaheim, CA",51445,2024,1636.83,12237376.0,69.0,1022273.0,Annual Total,169159120.0,13979781.0,416190028.0
"Chicago, IL--IN",16264,2024,2337.89,8671746.0,11.0,26370.0,Annual Total,191370866.0,12898579.0,363885976.0
"Miami--Fort Lauderdale, FL",56602,2024,1244.18,6077522.0,410.0,2200561.0,Annual Total,61080680.0,4435608.0,125294227.0
"Houston, TX",40429,2024,1752.69,5853575.0,1309.0,4038849.0,Annual Total,48539510.0,3542978.0,73689152.0
"Dallas--Fort Worth--Arlington, TX",22042,2024,1746.9,5732354.0,350.0,927285.0,Annual Total,45640233.0,3285737.0,58442265.0
"Philadelphia, PA--NJ--DE--MD",69076,2024,1898.19,5696125.0,16.0,159726.0,Annual Total,89815030.0,6824849.0,213792738.0
"Washington--Arlington, DC--VA--MD",92242,2024,1294.51,5174759.0,1108.0,4645915.0,Annual Total,179907914.0,11388114.0,305819264.0
"Atlanta, GA",3817,2024,2553.04,5100112.0,605.0,1742072.0,Annual Total,51003002.0,3072931.0,67792087.0
"Boston, MA--NH",9271,2024,1655.89,4382009.0,664.0,2682227.0,Annual Total,78135022.0,5841573.0,257824133.0
"Phoenix--Mesa--Scottsdale, AZ",69184,2024,1110.48,3976313.0,520.0,1650070.0,Annual Total,36694183.0,3000979.0,43587713.0
"Detroit, MI",23824,2024,1284.83,3776890.0,1074.0,3424477.0,Annual Total,19177823.0,1188676.0,20784372.0
"Seattle--Tacoma, WA",80389,2024,982.52,3544011.0,2134.0,2347800.0,Annual Total,70329993.0,5777405.0,165858350.0
"San Francisco--Oakland, CA",78904,2024,513.8,3515933.0,80.0,867725.0,Annual Total,134491641.0,8623034.0,281072038.0
"San Diego, CA",78661,2024,674.72,3070300.0,902.0,2269953.0,Annual Total,39850268.0,3028224.0,82969219.0
"Minneapolis--St. Paul, MN",57628,2024,1014.79,2914866.0,468.0,1669091.0,Annual Total,30308677.0,2388743.0,53882363.0
"Tampa--St. Petersburg, FL",86599,2024,968.94,2783045.0,3840.0,4052996.0,Annual Total,17754510.0,1331588.0,23063906.0
"Denver--Aurora, CO",23527,2024,644.54,2686147.0,2342.0,3098079.0,Annual Total,39408867.0,2935580.0,63534867.0
"Riverside--San Bernardino, CA",75340,2024,608.56,2276703.0,466.0,1556579.0,Annual Total,13695879.0,998161.0,12425684.0
"Orlando, FL",65863,2024,644.61,1853896.0,2864.0,2456081.0,Annual Total,16996432.0,1240486.0,19770079.0
