Rank,NAME,Total Population,Median Income,Total households,Pct No Vehicle Available,No Vehicle Available,Transit Count,Total Workers,Public Transit Share,UZA_Name,UACE_Code,Report_Year,UZA_Area(Sq Miles),UZA_Pop,Service_Area(Sq Miles),Service_Area_Pop,Time_Period,VRM,VRH
1,"New York-Newark-Jersey City, NY-NJ",19940274.0,88804.0,7486828.0,0.3144320932710087,2354099.0,2379442.0,9489184.0,0.2507530679139534,"New York-Jersey City-Newark, NY-NJ",63217,2024,3248.12,19426449.0,13.0,33275.0,Annual Total,819147814.0,55272093.0
2,"Los Angeles-Long Beach-Anaheim, CA",12927614.0,90845.0,4583939.0,0.0800281155573841,366844.0,219191.0,6267171.0,0.0349744725331413,"Los Angeles-Long Beach-Anaheim, CA",51445,2024,1636.83,12237376.0,69.0,1022273.0,Annual Total,169159120.0,13979781.0
3,"Chicago-Naperville-Elgin, IL-IN",9406924.0,76753.0,3690402.0,0.1285336936192859,474341.0,381364.0,4625828.0,0.0824423216773299,"Chicago, IL-IN",16264,2024,2337.89,8671746.0,11.0,26370.0,Annual Total,191370866.0,12898579.0
4,"Dallas-Fort Worth-Arlington, TX",8344032.0,86593.0,3012855.0,0.0543829689779295,163848.0,31254.0,3936306.0,0.0079399314992279,"Dallas-Fort Worth-Arlington, TX",22042,2024,1746.9,5732354.0,350.0,927285.0,Annual Total,45640233.0,3285737.0
5,"Houston-Pasadena-The Woodlands, TX",7796182.0,118690.0,2768708.0,0.0639171772537949,176968.0,54345.0,3424978.0,0.0158672552057268,"Houston, TX",40429,2024,1752.69,5853575.0,1309.0,4038849.0,Annual Total,48539510.0,3542978.0
6,"Miami-Fort Lauderdale-West Palm Beach, FL",6457988.0,84789.0,2382154.0,0.0800838232960589,190772.0,72755.0,2991554.0,0.024320135956095,"Miami-Fort Lauderdale, FL",56602,2024,1244.18,6077522.0,410.0,2200561.0,Annual Total,61080680.0,4435608.0
7,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6437907.0,104499.0,2415530.0,0.1100077415722429,265727.0,262027.0,3321995.0,0.0788763980680284,"Washington-Arlington, DC-VA-MD",92242,2024,1294.51,5174759.0,1108.0,4645915.0,Annual Total,179907914.0,11388114.0
8,"Atlanta-Sandy Springs-Roswell, GA",6409047.0,101967.0,2390346.0,0.0537273683391442,128427.0,54159.0,3052086.0,0.0177449128235573,"Atlanta, GA",3817,2024,2553.04,5100112.0,605.0,1742072.0,Annual Total,51003002.0,3072931.0
9,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6330422.0,89562.0,2505818.0,0.1238609507953091,310373.0,200411.0,3063340.0,0.065422382105806,"Philadelphia, PA-NJ-DE-MD",69076,2024,1898.19,5696125.0,16.0,159726.0,Annual Total,89815030.0,6824849.0
10,"Phoenix-Mesa-Chandler, AZ",5186958.0,120362.0,1967378.0,0.053870176448044,105983.0,27924.0,2365018.0,0.0118070982969262,"Phoenix-Mesa-Scottsdale, AZ",69184,2024,1110.48,3976313.0,520.0,1650070.0,Annual Total,36694183.0,3000979.0
11,"Boston-Cambridge-Newton, MA-NH",5025517.0,108155.0,1970240.0,0.1252532686373233,246779.0,234560.0,2618891.0,0.0895646286920685,"Boston, MA-NH",9271,2024,1655.89,4382009.0,664.0,2682227.0,Annual Total,78135022.0,5841573.0
12,"Riverside-San Bernardino-Ontario, CA",4744214.0,115044.0,1484661.0,0.0459081231338332,68158.0,16402.0,2016055.0,0.008135690742564,"Riverside-San Bernardino, CA",75340,2024,608.56,2276703.0,466.0,1556579.0,Annual Total,13695879.0,998161.0
13,"San Francisco-Oakland-Fremont, CA",4648486.0,147017.0,1770425.0,0.131432283208834,232691.0,245060.0,2369040.0,0.1034427447404855,"San Francisco-Oakland, CA",78904,2024,513.8,3515933.0,80.0,867725.0,Annual Total,134491641.0,8623034.0
14,"Detroit-Warren-Dearborn, MI",4400578.0,88750.0,1777768.0,0.0806010683058756,143290.0,21733.0,2019337.0,0.0107624433167916,"Detroit, MI",23824,2024,1284.83,3776890.0,1074.0,3424477.0,Annual Total,19177823.0,1188676.0
15,"Seattle-Tacoma-Bellevue, WA",4145494.0,100529.0,1658652.0,0.0948221809035289,157277.0,121444.0,2088562.0,0.0581471845221736,"Seattle-Tacoma, WA",80389,2024,982.52,3544011.0,2134.0,2347800.0,Annual Total,70329993.0,5777405.0
16,"Minneapolis-St. Paul-Bloomington, MN-WI",3757952.0,128163.0,1508526.0,0.0758402573107788,114407.0,50376.0,1954889.0,0.0257692380488099,"Minneapolis-St. Paul, MN",57628,2024,1014.79,2914866.0,468.0,1669091.0,Annual Total,30308677.0,2388743.0
17,"Tampa-St. Petersburg-Clearwater, FL",3424560.0,80513.0,1377328.0,0.0634061022501539,87331.0,12485.0,1532330.0,0.0081477227490162,"Tampa-St. Petersburg, FL",86599,2024,968.94,2783045.0,3840.0,4052996.0,Annual Total,17754510.0,1331588.0
18,"San Diego-Chula Vista-Carlsbad, CA",3298799.0,145273.0,1185092.0,0.0578630182298083,68573.0,35317.0,1627877.0,0.0216951280717154,"San Diego, CA",78661,2024,674.72,3070300.0,902.0,2269953.0,Annual Total,39850268.0,3028224.0
19,"Denver-Aurora-Centennial, CO",3050512.0,145410.0,1265606.0,0.058424975861366,73943.0,42347.0,1631213.0,0.0259604355776958,"Denver-Aurora, CO",23527,2024,644.54,2686147.0,2342.0,3098079.0,Annual Total,39408867.0,2935580.0
