Rank,MSA_Name,no_vehicle_pct(Standardized),transit_commute_pct(Standardized),z_median_income(Standardized),Need Index
1,"New York-Newark-Jersey City, NY-NJ",4.1874,3.9432,0.3591,2.5905
2,"Los Angeles-Long Beach-Anaheim, CA",0.0371,0.1735,0.1899,0.0069
3,"Chicago-Naperville-Elgin, IL-IN",0.8959,1.0028,-0.0868,0.6618
4,"Dallas-Fort Worth-Arlington, TX",-0.417,-0.2988,0.0096,-0.2418
5,"Houston-Pasadena-The Woodlands, TX",-0.2482,-0.1603,-0.5461,0.0459
6,"Miami-Fort Lauderdale-West Palm Beach, FL",0.0381,-0.0127,-0.585,0.2035
7,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0.5679,0.9405,1.6552,-0.0489
8,"Atlanta-Sandy Springs-Roswell, GA",-0.4286,-0.1275,-0.0096,-0.1822
9,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0.8132,0.7054,-0.0829,0.5338
10,"Phoenix-Mesa-Chandler, AZ",-0.4261,-0.2313,-0.1181,-0.1798
11,"Boston-Cambridge-Newton, MA-NH",0.8378,1.1272,1.2418,0.2411
12,"Riverside-San Bernardino-Ontario, CA",-0.5671,-0.2954,-0.0749,-0.2625
13,"San Francisco-Oakland-Fremont, CA",0.9472,1.3696,2.1142,0.0675
14,"Detroit-Warren-Dearborn, MI",0.0472,-0.2495,-0.7924,0.1967
15,"Seattle-Tacoma-Bellevue, WA",0.299,0.5783,0.9748,-0.0325
16,"Minneapolis-St. Paul-Bloomington, MN-WI",-0.0371,0.0127,0.2647,-0.0964
17,"Tampa-St. Petersburg-Clearwater, FL",-0.2572,-0.2952,-0.7004,0.0493
18,"San Diego-Chula Vista-Carlsbad, CA",-0.3554,-0.0585,0.8149,-0.4096
19,"Denver-Aurora-Centennial, CO",-0.3454,0.016,0.7615,-0.3636
20,"Orlando-Kissimmee-Sanford, FL",-0.429,-0.251,-0.5645,-0.0385
