Rank,UZA_Name,VRM_per_capita(Standardized),VRH_per_capita(Standardized),Supply Index,Scaled Supply Index
1,"New York-Jersey City-Newark, NY-NJ",389.5737,393.9147,391.7442,0.6537
2,"Los Angeles-Long Beach-Anaheim, CA",2.171,2.7916,2.4813,0.1962
3,"Chicago, IL-IN",114.5269,115.6757,115.1013,0.3227
4,"Dallas-Fort Worth-Arlington, TX",0.3292,0.3861,0.3577,0.0398
5,"Houston, TX",-0.2602,-0.2469,-0.2536,-0.1314
6,"Miami-Fort Lauderdale, FL",-0.0109,0.0234,0.0062,0.0021
7,"Washington-Arlington, DC-VA-MD",0.1629,0.1268,0.1448,0.1045
8,"Atlanta, GA",0.0132,-0.0364,-0.0116,-0.0032
9,"Philadelphia, PA-NJ-DE-MD",8.4582,9.6894,9.0738,0.2289
10,"Phoenix-Mesa-Scottsdale, AZ",-0.0983,-0.0234,-0.0608,-0.0193
11,"Boston, MA-NH",0.0109,0.0619,0.0364,0.0194
12,"Riverside-San Bernardino, CA",-0.3112,-0.3029,-0.307,-0.1007
13,"San Francisco-Oakland, CA",2.005,1.9042,1.9546,0.3649
14,"Detroit, MI",-0.3619,-0.3728,-0.3674,-0.2859
15,"Seattle-Tacoma, WA",0.024,0.1291,0.0765,0.0433
16,"Minneapolis-St. Paul, MN",-0.1629,-0.1154,-0.1392,-0.0618
17,"Tampa-St. Petersburg, FL",-0.3812,-0.3772,-0.3792,-0.4488
18,"San Diego, CA",-0.1725,-0.1384,-0.1554,-0.1069
19,"Denver-Aurora, CO",-0.2491,-0.2302,-0.2396,-0.2433
20,"Orlando, FL",-0.341,-0.3353,-0.3382,-0.2825
