Label (Grouping),"Atlanta-Sandy Springs-Roswell, GA Metro Division; Atlanta-Sandy Springs-Roswell, GA Metro Area!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Division; Atlanta-Sandy Springs-Roswell, GA Metro Area!!Margin of Error","Marietta, GA Metro Division; Atlanta-Sandy Springs-Roswell, GA Metro Area!!Estimate","Marietta, GA Metro Division; Atlanta-Sandy Springs-Roswell, GA Metro Area!!Margin of Error","Boston, MA Metro Division; Boston-Cambridge-Newton, MA-NH Metro Area!!Estimate","Boston, MA Metro Division; Boston-Cambridge-Newton, MA-NH Metro Area!!Margin of Error","Cambridge-Newton-Framingham, MA Metro Division; Boston-Cambridge-Newton, MA-NH Metro Area!!Estimate","Cambridge-Newton-Framingham, MA Metro Division; Boston-Cambridge-Newton, MA-NH Metro Area!!Margin of Error","Rockingham County-Strafford County, NH Metro Division; Boston-Cambridge-Newton, MA-NH Metro Area!!Estimate","Rockingham County-Strafford County, NH Metro Division; Boston-Cambridge-Newton, MA-NH Metro Area!!Margin of Error","Chicago-Naperville-Schaumburg, IL Metro Division; Chicago-Naperville-Elgin, IL-IN Metro Area!!Estimate","Chicago-Naperville-Schaumburg, IL Metro Division; Chicago-Naperville-Elgin, IL-IN Metro Area!!Margin of Error","Elgin, IL Metro Division; Chicago-Naperville-Elgin, IL-IN Metro Area!!Estimate","Elgin, IL Metro Division; Chicago-Naperville-Elgin, IL-IN Metro Area!!Margin of Error","Lake County, IL Metro Division; Chicago-Naperville-Elgin, IL-IN Metro Area!!Estimate","Lake County, IL Metro Division; Chicago-Naperville-Elgin, IL-IN Metro Area!!Margin of Error","Lake County-Porter County-Jasper County, IN Metro Division; Chicago-Naperville-Elgin, IL-IN Metro Area!!Estimate","Lake County-Porter County-Jasper County, IN Metro Division; Chicago-Naperville-Elgin, IL-IN Metro Area!!Margin of Error","Dallas-Plano-Irving, TX Metro Division; Dallas-Fort Worth-Arlington, TX Metro Area!!Estimate","Dallas-Plano-Irving, TX Metro Division; Dallas-Fort Worth-Arlington, TX Metro Area!!Margin of Error","Fort Worth-Arlington-Grapevine, TX Metro Division; Dallas-Fort Worth-Arlington, TX Metro Area!!Estimate","Fort Worth-Arlington-Grapevine, TX Metro Division; Dallas-Fort Worth-Arlington, TX Metro Area!!Margin of Error","Detroit-Dearborn-Livonia, MI Metro Division; Detroit-Warren-Dearborn, MI Metro Area!!Estimate","Detroit-Dearborn-Livonia, MI Metro Division; Detroit-Warren-Dearborn, MI Metro Area!!Margin of Error","Warren-Troy-Farmington Hills, MI Metro Division; Detroit-Warren-Dearborn, MI Metro Area!!Estimate","Warren-Troy-Farmington Hills, MI Metro Division; Detroit-Warren-Dearborn, MI Metro Area!!Margin of Error","Anaheim-Santa Ana-Irvine, CA Metro Division; Los Angeles-Long Beach-Anaheim, CA Metro Area!!Estimate","Anaheim-Santa Ana-Irvine, CA Metro Division; Los Angeles-Long Beach-Anaheim, CA Metro Area!!Margin of Error","Los Angeles-Long Beach-Glendale, CA Metro Division; Los Angeles-Long Beach-Anaheim, CA Metro Area!!Estimate","Los Angeles-Long Beach-Glendale, CA Metro Division; Los Angeles-Long Beach-Anaheim, CA Metro Area!!Margin of Error","Fort Lauderdale-Pompano Beach-Sunrise, FL Metro Division; Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Estimate","Fort Lauderdale-Pompano Beach-Sunrise, FL Metro Division; Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Margin of Error","Miami-Miami Beach-Kendall, FL Metro Division; Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Estimate","Miami-Miami Beach-Kendall, FL Metro Division; Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Margin of Error","West Palm Beach-Boca Raton-Delray Beach, FL Metro Division; Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Estimate","West Palm Beach-Boca Raton-Delray Beach, FL Metro Division; Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Margin of Error","Lakewood-New Brunswick, NJ Metro Division; New York-Newark-Jersey City, NY-NJ Metro Area!!Estimate","Lakewood-New Brunswick, NJ Metro Division; New York-Newark-Jersey City, NY-NJ Metro Area!!Margin of Error","Nassau County-Suffolk County, NY Metro Division; New York-Newark-Jersey City, NY-NJ Metro Area!!Estimate","Nassau County-Suffolk County, NY Metro Division; New York-Newark-Jersey City, NY-NJ Metro Area!!Margin of Error","Newark, NJ Metro Division; New York-Newark-Jersey City, NY-NJ Metro Area!!Estimate","Newark, NJ Metro Division; New York-Newark-Jersey City, NY-NJ Metro Area!!Margin of Error","New York-Jersey City-White Plains, NY-NJ Metro Division; New York-Newark-Jersey City, NY-NJ Metro Area!!Estimate","New York-Jersey City-White Plains, NY-NJ Metro Division; New York-Newark-Jersey City, NY-NJ Metro Area!!Margin of Error","Camden, NJ Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Estimate","Camden, NJ Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Margin of Error","Montgomery County-Bucks County-Chester County, PA Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Estimate","Montgomery County-Bucks County-Chester County, PA Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Margin of Error","Philadelphia, PA Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Estimate","Philadelphia, PA Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Margin of Error","Wilmington, DE-MD-NJ Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Estimate","Wilmington, DE-MD-NJ Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Margin of Error","Oakland-Fremont-Berkeley, CA Metro Division; San Francisco-Oakland-Fremont, CA Metro Area!!Estimate","Oakland-Fremont-Berkeley, CA Metro Division; San Francisco-Oakland-Fremont, CA Metro Area!!Margin of Error","San Francisco-San Mateo-Redwood City, CA Metro Division; San Francisco-Oakland-Fremont, CA Metro Area!!Estimate","San Francisco-San Mateo-Redwood City, CA Metro Division; San Francisco-Oakland-Fremont, CA Metro Area!!Margin of Error","San Rafael, CA Metro Division; San Francisco-Oakland-Fremont, CA Metro Area!!Estimate","San Rafael, CA Metro Division; San Francisco-Oakland-Fremont, CA Metro Area!!Margin of Error","Everett, WA Metro Division; Seattle-Tacoma-Bellevue, WA Metro Area!!Estimate","Everett, WA Metro Division; Seattle-Tacoma-Bellevue, WA Metro Area!!Margin of Error","Seattle-Bellevue-Kent, WA Metro Division; Seattle-Tacoma-Bellevue, WA Metro Area!!Estimate","Seattle-Bellevue-Kent, WA Metro Division; Seattle-Tacoma-Bellevue, WA Metro Area!!Margin of Error","Tacoma-Lakewood, WA Metro Division; Seattle-Tacoma-Bellevue, WA Metro Area!!Estimate","Tacoma-Lakewood, WA Metro Division; Seattle-Tacoma-Bellevue, WA Metro Area!!Margin of Error","St. Petersburg-Clearwater-Largo, FL Metro Division; Tampa-St. Petersburg-Clearwater, FL Metro Area!!Estimate","St. Petersburg-Clearwater-Largo, FL Metro Division; Tampa-St. Petersburg-Clearwater, FL Metro Area!!Margin of Error","Tampa, FL Metro Division; Tampa-St. Petersburg-Clearwater, FL Metro Area!!Estimate","Tampa, FL Metro Division; Tampa-St. Petersburg-Clearwater, FL Metro Area!!Margin of Error","Arlington-Alexandria-Reston, VA-WV Metro Division; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Estimate","Arlington-Alexandria-Reston, VA-WV Metro Division; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Margin of Error","Frederick-Gaithersburg-Bethesda, MD Metro Division; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Estimate","Frederick-Gaithersburg-Bethesda, MD Metro Division; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Margin of Error","Washington, DC-MD Metro Division; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Estimate","Washington, DC-MD Metro Division; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Margin of Error"
Total:,"2,516,128","±18,486","745,583","±9,780","1,130,304","±11,171","1,346,824","±12,462","251,195","±4,963","3,651,923","±25,120","403,400","±6,107","365,255","±5,270","336,194","±5,516","2,917,985","±18,405","1,352,908","±10,846","765,029","±9,760","1,326,582","±11,623","1,604,650","±12,851","4,834,507","±19,935","1,041,550","±13,487","1,452,978","±12,698","749,833","±9,838","1,267,096","±11,918","1,459,186","±12,599","1,150,451","±11,481","5,930,879","±22,944","664,489","±8,468","1,092,495","±10,023","1,045,914","±13,862","375,838","±6,227","1,405,195","±13,112","863,286","±9,150","123,945","±3,755","440,583","±5,918","1,278,918","±11,797","465,458","±6,389","473,795","±7,760","1,204,637","±12,780","1,738,723","±11,933","734,027","±8,713","981,393","±10,783"
"    Car, truck, or van:","1,910,382","±21,994","580,430","±10,023","675,956","±11,222","918,470","±13,793","199,753","±5,306","2,445,998","±24,743","333,833","±7,064","276,880","±6,596","294,645","±6,008","2,304,626","±24,959","1,140,764","±12,226","640,801","±11,642","1,106,863","±13,997","1,245,867","±16,087","3,689,482","±22,777","827,151","±15,169","1,123,392","±16,327","591,347","±10,702","966,831","±14,761","1,092,926","±12,454","804,450","±13,326","2,155,667","±24,583","537,046","±9,556","827,218","±11,298","619,020","±13,941","301,808","±7,086","973,433","±16,251","452,007","±8,215","76,197","±4,551","337,438","±7,711","796,677","±12,132","378,587","±6,647","348,604","±8,013","922,078","±12,104","1,202,812","±14,173","497,165","±9,970","567,891","±11,537"
        Drove alone,"1,689,944","±21,248","522,267","±10,873","595,117","±10,956","809,338","±14,268","184,867","±4,756","2,153,733","±25,499","300,638","±7,149","245,789","±6,709","272,474","±6,083","2,009,506","±26,540","1,002,783","±15,456","572,033","±11,051","1,008,234","±14,159","1,100,308","±16,416","3,212,482","±24,560","702,698","±14,167","976,850","±15,933","511,963","±11,029","857,901","±15,191","974,630","±12,844","712,521","±13,460","1,822,804","±23,947","482,392","±8,651","747,632","±11,774","534,169","±11,829","272,270","±7,987","824,577","±15,627","386,174","±8,243","66,533","±4,466","293,088","±8,241","690,377","±13,044","333,498","±8,005","312,121","±7,996","814,069","±15,658","1,042,596","±15,135","437,911","±9,934","491,134","±10,978"
        Carpooled:,"220,438","±10,414","58,163","±5,838","80,839","±7,090","109,132","±8,449","14,886","±2,677","292,265","±12,633","33,195","±4,280","31,091","±3,924","22,171","±3,269","295,120","±11,590","137,981","±8,916","68,768","±5,834","98,629","±6,809","145,559","±7,967","477,000","±14,653","124,453","±7,873","146,542","±9,161","79,384","±8,110","108,930","±7,958","118,296","±7,379","91,929","±7,414","332,863","±13,629","54,654","±5,006","79,586","±6,982","84,851","±7,433","29,538","±3,915","148,856","±9,273","65,833","±5,195","9,664","±2,292","44,350","±5,603","106,300","±8,566","45,089","±4,744","36,483","±3,929","108,009","±8,368","160,216","±8,710","59,254","±5,000","76,757","±6,278"
            In 2-person carpool,"157,095","±8,584","43,473","±5,228","60,882","±6,197","80,485","±6,208","12,791","±2,499","208,499","±11,327","27,185","±3,796","21,778","±2,832","16,668","±2,829","214,538","±9,707","98,097","±7,197","51,509","±4,835","75,147","±5,967","98,437","±7,247","345,264","±12,591","91,487","±6,970","104,070","±7,320","56,042","±6,904","86,250","±7,237","85,564","±6,198","61,940","±5,914","237,662","±10,929","41,142","±4,317","63,999","±6,274","68,402","±6,903","19,876","±3,215","101,888","±7,646","45,926","±4,214","6,952","±2,115","29,475","±4,044","80,251","±7,632","31,194","±3,397","26,346","±3,490","80,366","±7,436","115,859","±7,538","42,596","±4,276","51,901","±5,368"
            In 3-person carpool,"37,978","±5,810","7,430","±2,109","10,480","±2,893","17,898","±3,891","1,121",±540,"52,199","±5,609","3,486","±1,058","4,286","±1,419","3,478","±1,407","47,824","±6,501","25,973","±3,959","10,451","±2,154","15,729","±2,961","28,776","±4,324","74,912","±5,607","19,461","±4,051","22,916","±4,073","13,944","±2,975","12,412","±2,858","19,106","±3,505","12,929","±2,829","47,590","±5,137","7,757","±2,011","8,416","±2,084","10,076","±2,952","6,568","±2,355","26,535","±4,281","12,721","±2,926","1,071",±954,"8,879","±2,606","13,590","±2,451","8,562","±2,262","6,501","±2,679","14,499","±2,438","24,565","±3,937","9,596","±2,164","14,392","±3,037"
            In 4-person carpool,"17,512","±4,613","5,140","±1,966","5,013","±1,636","4,947","±1,544",202,±229,"19,636","±3,726","1,268",±970,"3,163","±2,180","1,096",±685,"20,965","±4,971","7,556","±1,941","3,142","±1,264","5,301","±1,532","11,705","±3,258","31,918","±4,508","7,321","±2,757","9,391","±2,485","5,628","±1,764","5,311","±1,854","7,413","±1,840","10,818","±2,570","23,133","±3,492","2,786","±1,206","4,496","±1,510","3,560","±1,220","1,870",±907,"10,071","±2,663","4,163","±1,547","1,381","±1,473","3,860","±1,993","8,278","±2,236","2,079",±737,"2,370",±951,"7,065","±1,814","9,916","±2,791","4,505","±1,915","5,589","±1,993"
            In 5- or 6-person carpool,"5,029","±1,341","1,698",±987,"3,079","±1,157","3,634","±2,584",81,±96,"7,886","±2,205",794,±471,"1,360","±1,412",787,±479,"8,408","±2,250","4,837","±2,076","3,258","±1,777","2,158",±660,"4,818","±1,609","18,843","±3,050","5,252","±2,463","7,631","±2,925","3,132","±1,160","3,423","±1,719","4,796","±1,410","3,578","±1,265","15,228","±2,811","1,647","±1,053","1,081",±459,"1,640","±1,029","1,041","±1,494","7,735","±2,795","2,202",±925,207,±364,842,±401,"2,683","±1,009","2,382","±1,000","1,147",±958,"4,895","±1,925","6,956","±2,715","2,047",±932,"3,063","±2,004"
            In 7-or-more-person carpool,"2,824","±1,014",422,±325,"1,385",±856,"2,168","±1,058",691,±490,"4,045","±1,449",462,±471,504,±505,142,±135,"3,385","±1,361","1,518",±958,408,±320,294,±205,"1,823",±740,"6,063","±1,471",932,±545,"2,534","±1,047",638,±604,"1,534","±1,063","1,417",±721,"2,664","±1,288","9,250","±2,099","1,322",±894,"1,594",±767,"1,173",±719,183,±271,"2,627","±1,542",821,±358,53,±91,"1,294","±1,445","1,498","±1,168",872,±594,119,±106,"1,184",±776,"2,920","±1,268",510,±345,"1,812",±955
    Public transportation:,"47,610","±5,683","4,673","±1,931","166,947","±7,714","98,063","±6,637","1,150",±532,"405,537","±13,590","6,600","±1,562","13,390","±2,309","4,820","±1,158","21,193","±3,578","5,903","±1,704","10,982","±2,572","6,702","±1,646","22,844","±3,374","199,487","±9,030","17,729","±3,493","54,215","±5,343","13,889","±4,209","65,330","±4,751","144,510","±6,671","120,945","±7,331","2,337,456","±25,473","21,058","±2,898","31,406","±3,199","170,933","±9,206","9,400","±1,841","113,381","±6,670","140,542","±6,979","7,357","±2,035","18,565","±2,681","108,422","±6,363","9,728","±1,995","8,505","±1,882","7,420","±1,708","101,848","±6,963","57,827","±5,677","151,867","±8,317"
        Bus,"29,933","±4,537","4,002","±1,796","46,707","±5,025","28,409","±4,104",735,±436,"147,755","±8,561","1,319",±731,"1,406",±796,667,±431,"13,325","±2,694","2,715","±1,250","10,763","±2,546","5,345","±1,655","19,998","±3,239","169,052","±8,508","13,689","±2,877","41,171","±4,724","10,988","±3,998","27,110","±3,241","20,439","±3,346","56,495","±5,295","557,029","±16,700","7,710","±2,067","6,809","±2,068","98,604","±8,497","7,107","±1,574","34,409","±3,795","87,628","±6,128","4,868","±1,777","15,764","±2,670","81,813","±5,826","4,950","±1,512","8,183","±1,743","6,858","±1,626","32,423","±4,425","20,958","±5,092","47,696","±4,737"
        Subway or elevated rail,"15,094","±2,746",236,±413,"86,335","±5,680","47,303","±4,186",173,±244,"156,350","±9,119","1,083",±910,781,±548,733,±605,"2,922","±1,589",368,±398,78,±134,395,±437,410,±239,"15,836","±2,224","1,602","±1,004","10,112","±1,888",904,±639,"6,874","±1,553","29,110","±2,937","18,808","±2,887","1,616,785","±22,347","5,937","±1,209","3,911","±1,209","45,804","±4,925",111,±134,"55,502","±4,802","32,366","±3,370",0,±225,696,±391,"5,259","±1,456",63,±106,0,±247,260,±289,"58,004","±5,289","33,761","±4,024","98,751","±6,499"
