"Label (Grouping)","Atlanta-Sandy Springs-Roswell, GA Metro Division; Atlanta-Sandy Springs-Roswell, GA Metro Area!!Number!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Division; Atlanta-Sandy Springs-Roswell, GA Metro Area!!Percent Distribution!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Division; Atlanta-Sandy Springs-Roswell, GA Metro Area!!Median income (dollars)!!Estimate","Marietta, GA Metro Division; Atlanta-Sandy Springs-Roswell, GA Metro Area!!Number!!Estimate","Marietta, GA Metro Division; Atlanta-Sandy Springs-Roswell, GA Metro Area!!Percent Distribution!!Estimate","Marietta, GA Metro Division; Atlanta-Sandy Springs-Roswell, GA Metro Area!!Median income (dollars)!!Estimate","Boston, MA Metro Division; Boston-Cambridge-Newton, MA-NH Metro Area!!Number!!Estimate","Boston, MA Metro Division; Boston-Cambridge-Newton, MA-NH Metro Area!!Percent Distribution!!Estimate","Boston, MA Metro Division; Boston-Cambridge-Newton, MA-NH Metro Area!!Median income (dollars)!!Estimate","Cambridge-Newton-Framingham, MA Metro Division; Boston-Cambridge-Newton, MA-NH Metro Area!!Number!!Estimate","Cambridge-Newton-Framingham, MA Metro Division; Boston-Cambridge-Newton, MA-NH Metro Area!!Percent Distribution!!Estimate","Cambridge-Newton-Framingham, MA Metro Division; Boston-Cambridge-Newton, MA-NH Metro Area!!Median income (dollars)!!Estimate","Rockingham County-Strafford County, NH Metro Division; Boston-Cambridge-Newton, MA-NH Metro Area!!Number!!Estimate","Rockingham County-Strafford County, NH Metro Division; Boston-Cambridge-Newton, MA-NH Metro Area!!Percent Distribution!!Estimate","Rockingham County-Strafford County, NH Metro Division; Boston-Cambridge-Newton, MA-NH Metro Area!!Median income (dollars)!!Estimate","Chicago-Naperville-Schaumburg, IL Metro Division; Chicago-Naperville-Elgin, IL-IN Metro Area!!Number!!Estimate","Chicago-Naperville-Schaumburg, IL Metro Division; Chicago-Naperville-Elgin, IL-IN Metro Area!!Percent Distribution!!Estimate","Chicago-Naperville-Schaumburg, IL Metro Division; Chicago-Naperville-Elgin, IL-IN Metro Area!!Median income (dollars)!!Estimate","Elgin, IL Metro Division; Chicago-Naperville-Elgin, IL-IN Metro Area!!Number!!Estimate","Elgin, IL Metro Division; Chicago-Naperville-Elgin, IL-IN Metro Area!!Percent Distribution!!Estimate","Elgin, IL Metro Division; Chicago-Naperville-Elgin, IL-IN Metro Area!!Median income (dollars)!!Estimate","Lake County, IL Metro Division; Chicago-Naperville-Elgin, IL-IN Metro Area!!Number!!Estimate","Lake County, IL Metro Division; Chicago-Naperville-Elgin, IL-IN Metro Area!!Percent Distribution!!Estimate","Lake County, IL Metro Division; Chicago-Naperville-Elgin, IL-IN Metro Area!!Median income (dollars)!!Estimate","Lake County-Porter County-Jasper County, IN Metro Division; Chicago-Naperville-Elgin, IL-IN Metro Area!!Number!!Estimate","Lake County-Porter County-Jasper County, IN Metro Division; Chicago-Naperville-Elgin, IL-IN Metro Area!!Percent Distribution!!Estimate","Lake County-Porter County-Jasper County, IN Metro Division; Chicago-Naperville-Elgin, IL-IN Metro Area!!Median income (dollars)!!Estimate","Dallas-Plano-Irving, TX Metro Division; Dallas-Fort Worth-Arlington, TX Metro Area!!Number!!Estimate","Dallas-Plano-Irving, TX Metro Division; Dallas-Fort Worth-Arlington, TX Metro Area!!Percent Distribution!!Estimate","Dallas-Plano-Irving, TX Metro Division; Dallas-Fort Worth-Arlington, TX Metro Area!!Median income (dollars)!!Estimate","Fort Worth-Arlington-Grapevine, TX Metro Division; Dallas-Fort Worth-Arlington, TX Metro Area!!Number!!Estimate","Fort Worth-Arlington-Grapevine, TX Metro Division; Dallas-Fort Worth-Arlington, TX Metro Area!!Percent Distribution!!Estimate","Fort Worth-Arlington-Grapevine, TX Metro Division; Dallas-Fort Worth-Arlington, TX Metro Area!!Median income (dollars)!!Estimate","Detroit-Dearborn-Livonia, MI Metro Division; Detroit-Warren-Dearborn, MI Metro Area!!Number!!Estimate","Detroit-Dearborn-Livonia, MI Metro Division; Detroit-Warren-Dearborn, MI Metro Area!!Percent Distribution!!Estimate","Detroit-Dearborn-Livonia, MI Metro Division; Detroit-Warren-Dearborn, MI Metro Area!!Median income (dollars)!!Estimate","Warren-Troy-Farmington Hills, MI Metro Division; Detroit-Warren-Dearborn, MI Metro Area!!Number!!Estimate","Warren-Troy-Farmington Hills, MI Metro Division; Detroit-Warren-Dearborn, MI Metro Area!!Percent Distribution!!Estimate","Warren-Troy-Farmington Hills, MI Metro Division; Detroit-Warren-Dearborn, MI Metro Area!!Median income (dollars)!!Estimate","Anaheim-Santa Ana-Irvine, CA Metro Division; Los Angeles-Long Beach-Anaheim, CA Metro Area!!Number!!Estimate","Anaheim-Santa Ana-Irvine, CA Metro Division; Los Angeles-Long Beach-Anaheim, CA Metro Area!!Percent Distribution!!Estimate","Anaheim-Santa Ana-Irvine, CA Metro Division; Los Angeles-Long Beach-Anaheim, CA Metro Area!!Median income (dollars)!!Estimate","Los Angeles-Long Beach-Glendale, CA Metro Division; Los Angeles-Long Beach-Anaheim, CA Metro Area!!Number!!Estimate","Los Angeles-Long Beach-Glendale, CA Metro Division; Los Angeles-Long Beach-Anaheim, CA Metro Area!!Percent Distribution!!Estimate","Los Angeles-Long Beach-Glendale, CA Metro Division; Los Angeles-Long Beach-Anaheim, CA Metro Area!!Median income (dollars)!!Estimate","Fort Lauderdale-Pompano Beach-Sunrise, FL Metro Division; Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Number!!Estimate","Fort Lauderdale-Pompano Beach-Sunrise, FL Metro Division; Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Percent Distribution!!Estimate","Fort Lauderdale-Pompano Beach-Sunrise, FL Metro Division; Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Median income (dollars)!!Estimate","Miami-Miami Beach-Kendall, FL Metro Division; Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Number!!Estimate","Miami-Miami Beach-Kendall, FL Metro Division; Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Percent Distribution!!Estimate","Miami-Miami Beach-Kendall, FL Metro Division; Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Median income (dollars)!!Estimate","West Palm Beach-Boca Raton-Delray Beach, FL Metro Division; Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Number!!Estimate","West Palm Beach-Boca Raton-Delray Beach, FL Metro Division; Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Percent Distribution!!Estimate","West Palm Beach-Boca Raton-Delray Beach, FL Metro Division; Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Median income (dollars)!!Estimate","Lakewood-New Brunswick, NJ Metro Division; New York-Newark-Jersey City, NY-NJ Metro Area!!Number!!Estimate","Lakewood-New Brunswick, NJ Metro Division; New York-Newark-Jersey City, NY-NJ Metro Area!!Percent Distribution!!Estimate","Lakewood-New Brunswick, NJ Metro Division; New York-Newark-Jersey City, NY-NJ Metro Area!!Median income (dollars)!!Estimate","Nassau County-Suffolk County, NY Metro Division; New York-Newark-Jersey City, NY-NJ Metro Area!!Number!!Estimate","Nassau County-Suffolk County, NY Metro Division; New York-Newark-Jersey City, NY-NJ Metro Area!!Percent Distribution!!Estimate","Nassau County-Suffolk County, NY Metro Division; New York-Newark-Jersey City, NY-NJ Metro Area!!Median income (dollars)!!Estimate","Newark, NJ Metro Division; New York-Newark-Jersey City, NY-NJ Metro Area!!Number!!Estimate","Newark, NJ Metro Division; New York-Newark-Jersey City, NY-NJ Metro Area!!Percent Distribution!!Estimate","Newark, NJ Metro Division; New York-Newark-Jersey City, NY-NJ Metro Area!!Median income (dollars)!!Estimate","New York-Jersey City-White Plains, NY-NJ Metro Division; New York-Newark-Jersey City, NY-NJ Metro Area!!Number!!Estimate","New York-Jersey City-White Plains, NY-NJ Metro Division; New York-Newark-Jersey City, NY-NJ Metro Area!!Percent Distribution!!Estimate","New York-Jersey City-White Plains, NY-NJ Metro Division; New York-Newark-Jersey City, NY-NJ Metro Area!!Median income (dollars)!!Estimate","Camden, NJ Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Number!!Estimate","Camden, NJ Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Percent Distribution!!Estimate","Camden, NJ Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Median income (dollars)!!Estimate","Montgomery County-Bucks County-Chester County, PA Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Number!!Estimate","Montgomery County-Bucks County-Chester County, PA Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Percent Distribution!!Estimate","Montgomery County-Bucks County-Chester County, PA Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Median income (dollars)!!Estimate","Philadelphia, PA Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Number!!Estimate","Philadelphia, PA Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Percent Distribution!!Estimate","Philadelphia, PA Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Median income (dollars)!!Estimate","Wilmington, DE-MD-NJ Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Number!!Estimate","Wilmington, DE-MD-NJ Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Percent Distribution!!Estimate","Wilmington, DE-MD-NJ Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Median income (dollars)!!Estimate","Oakland-Fremont-Berkeley, CA Metro Division; San Francisco-Oakland-Fremont, CA Metro Area!!Number!!Estimate","Oakland-Fremont-Berkeley, CA Metro Division; San Francisco-Oakland-Fremont, CA Metro Area!!Percent Distribution!!Estimate","Oakland-Fremont-Berkeley, CA Metro Division; San Francisco-Oakland-Fremont, CA Metro Area!!Median income (dollars)!!Estimate","San Francisco-San Mateo-Redwood City, CA Metro Division; San Francisco-Oakland-Fremont, CA Metro Area!!Number!!Estimate","San Francisco-San Mateo-Redwood City, CA Metro Division; San Francisco-Oakland-Fremont, CA Metro Area!!Percent Distribution!!Estimate","San Francisco-San Mateo-Redwood City, CA Metro Division; San Francisco-Oakland-Fremont, CA Metro Area!!Median income (dollars)!!Estimate","San Rafael, CA Metro Division; San Francisco-Oakland-Fremont, CA Metro Area!!Number!!Estimate","San Rafael, CA Metro Division; San Francisco-Oakland-Fremont, CA Metro Area!!Percent Distribution!!Estimate","San Rafael, CA Metro Division; San Francisco-Oakland-Fremont, CA Metro Area!!Median income (dollars)!!Estimate","Everett, WA Metro Division; Seattle-Tacoma-Bellevue, WA Metro Area!!Number!!Estimate","Everett, WA Metro Division; Seattle-Tacoma-Bellevue, WA Metro Area!!Percent Distribution!!Estimate","Everett, WA Metro Division; Seattle-Tacoma-Bellevue, WA Metro Area!!Median income (dollars)!!Estimate","Seattle-Bellevue-Kent, WA Metro Division; Seattle-Tacoma-Bellevue, WA Metro Area!!Number!!Estimate","Seattle-Bellevue-Kent, WA Metro Division; Seattle-Tacoma-Bellevue, WA Metro Area!!Percent Distribution!!Estimate","Seattle-Bellevue-Kent, WA Metro Division; Seattle-Tacoma-Bellevue, WA Metro Area!!Median income (dollars)!!Estimate","Tacoma-Lakewood, WA Metro Division; Seattle-Tacoma-Bellevue, WA Metro Area!!Number!!Estimate","Tacoma-Lakewood, WA Metro Division; Seattle-Tacoma-Bellevue, WA Metro Area!!Percent Distribution!!Estimate","Tacoma-Lakewood, WA Metro Division; Seattle-Tacoma-Bellevue, WA Metro Area!!Median income (dollars)!!Estimate","St. Petersburg-Clearwater-Largo, FL Metro Division; Tampa-St. Petersburg-Clearwater, FL Metro Area!!Number!!Estimate","St. Petersburg-Clearwater-Largo, FL Metro Division; Tampa-St. Petersburg-Clearwater, FL Metro Area!!Percent Distribution!!Estimate","St. Petersburg-Clearwater-Largo, FL Metro Division; Tampa-St. Petersburg-Clearwater, FL Metro Area!!Median income (dollars)!!Estimate","Tampa, FL Metro Division; Tampa-St. Petersburg-Clearwater, FL Metro Area!!Number!!Estimate","Tampa, FL Metro Division; Tampa-St. Petersburg-Clearwater, FL Metro Area!!Percent Distribution!!Estimate","Tampa, FL Metro Division; Tampa-St. Petersburg-Clearwater, FL Metro Area!!Median income (dollars)!!Estimate","Arlington-Alexandria-Reston, VA-WV Metro Division; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Number!!Estimate","Arlington-Alexandria-Reston, VA-WV Metro Division; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Percent Distribution!!Estimate","Arlington-Alexandria-Reston, VA-WV Metro Division; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Median income (dollars)!!Estimate","Frederick-Gaithersburg-Bethesda, MD Metro Division; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Number!!Estimate","Frederick-Gaithersburg-Bethesda, MD Metro Division; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Percent Distribution!!Estimate","Frederick-Gaithersburg-Bethesda, MD Metro Division; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Median income (dollars)!!Estimate","Washington, DC-MD Metro Division; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Number!!Estimate","Washington, DC-MD Metro Division; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Percent Distribution!!Estimate","Washington, DC-MD Metro Division; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Median income (dollars)!!Estimate"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Households","1,861,452","1,861,452","89,938","528,894","528,894","101,967","830,559","830,559","113,643","956,945","956,945","123,534","182,736","182,736","108,155","2,866,304","2,866,304","89,839","276,231","276,231","102,359","261,032","261,032","107,758","286,835","286,835","76,753","2,052,272","2,052,272","96,225","960,583","960,583","86,593","707,662","707,662","59,294","1,070,106","1,070,106","88,750","1,098,129","1,098,129","115,229","3,485,810","3,485,810","90,845","756,040","756,040","81,488","1,002,537","1,002,537","76,184","623,577","623,577","84,789","944,817","944,817","114,557","970,061","970,061","134,232","830,096","830,096","107,136","4,741,854","4,741,854","88,804","495,414","495,414","101,471","800,494","800,494","117,803","919,261","919,261","65,812","290,649","290,649","89,562","1,030,361","1,030,361","128,190","638,090","638,090","148,994","101,974","101,974","147,017","326,367","326,367","109,165","970,174","970,174","122,080","362,111","362,111","100,529","434,601","434,601","73,832","942,727","942,727","80,513","1,172,758","1,172,758","138,728","497,491","497,491","136,138","745,281","745,281","104,499"
"        One race--","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            White","802,079","43.1%","106,730","331,950","62.8%","109,495","552,908","66.6%","127,482","682,310","71.3%","131,338","167,051","91.4%","109,989","1,579,112","55.1%","103,221","191,631","69.4%","105,826","173,689","66.5%","114,209","192,144","67.0%","83,910","1,020,904","49.7%","107,673","552,943","57.6%","99,371","359,851","50.9%","76,666","821,927","76.8%","91,563","539,597","49.1%","124,316","1,279,852","36.7%","105,236","326,794","43.2%","88,441","254,836","25.4%","101,196","383,329","61.5%","94,063","626,551","66.3%","113,501","666,259","68.7%","134,241","429,536","51.7%","134,054","1,995,325","42.1%","119,241","332,962","67.2%","111,419","637,728","79.7%","119,072","415,133","45.2%","90,570","181,340","62.4%","98,353","412,086","40.0%","139,109","286,041","44.8%","175,608","74,816","73.4%","159,107","226,184","69.3%","107,129","567,673","58.5%","124,999","251,202","69.4%","102,468","341,005","78.5%","76,974","585,342","62.1%","85,282","686,409","58.5%","151,983","262,958","52.9%","152,772","204,743","27.5%","143,160"
"            Black or African American","701,158","37.7%","72,745","110,554","20.9%","91,077","90,692","10.9%","70,274","38,596","4.0%","74,790","N","N","51,671","519,871","18.1%","53,347","15,456","5.6%","72,047","21,057","8.1%","50,560","51,076","17.8%","51,989","374,091","18.2%","68,758","161,147","16.8%","61,607","269,415","38.1%","41,373","119,719","11.2%","60,834","21,094","1.9%","88,468","315,316","9.0%","64,310","184,220","24.4%","69,647","126,363","12.6%","56,990","91,155","14.6%","68,977","66,018","7.0%","104,260","79,116","8.2%","126,203","164,450","19.8%","71,368","859,098","18.1%","60,926","79,456","16.0%","81,247","50,238","6.3%","71,192","326,870","35.6%","49,383","61,854","21.3%","69,191","103,274","10.0%","74,117","22,739","3.6%","82,621","N","N","N","11,636","3.6%","70,871","60,127","6.2%","71,427","27,856","7.7%","86,369","34,114","7.8%","48,336","116,856","12.4%","62,923","154,185","13.1%","111,422","83,521","16.8%","93,833","387,677","52.0%","88,672"
"            American Indian and Alaska Native","6,655","0.4%","73,808","N","N","74,964","N","N","60,494","N","N","67,221","N","N","215,809","23,830","0.8%","83,349","N","N","112,083","N","N","90,713","N","N","91,000","14,729","0.7%","83,161","6,002","0.6%","85,240","N","N","26,317","N","N","41,920","9,809","0.9%","80,876","46,659","1.3%","90,003","N","N","85,496","N","N","50,461","N","N","49,847","N","N","79,397","N","N","119,155","N","N","59,490","32,126","0.7%","60,079","N","N","N","N","N","156,276","N","N","32,994","N","N","88,363","10,028","1.0%","105,570","N","N","125,278","N","N","N","N","N","N","5,801","0.6%","54,841","N","N","71,468","N","N","46,486","N","N","52,436","N","N","100,723","N","N","64,852","N","N","108,720"
"            Asian","135,048","7.3%","125,208","20,950","4.0%","126,342","71,386","8.6%","119,098","91,015","9.5%","160,887","N","N","75,828","233,587","8.1%","115,669","N","N","150,021","22,258","8.5%","149,885","N","N","80,049","208,466","10.2%","143,910","46,287","4.8%","102,187","22,838","3.2%","106,635","60,901","5.7%","125,599","250,018","22.8%","123,722","570,109","16.4%","104,681","27,932","3.7%","104,509","18,450","1.8%","115,381","16,382","2.6%","92,125","119,495","12.6%","171,918","71,757","7.4%","159,688","53,455","6.4%","176,468","635,441","13.4%","102,180","22,326","4.5%","118,857","53,307","6.7%","163,715","66,668","7.3%","68,306","15,253","5.2%","134,951","276,026","26.8%","167,744","212,451","33.3%","147,795","N","N","149,028","44,261","13.6%","166,454","202,978","20.9%","161,674","23,828","6.6%","105,968","12,287","2.8%","94,631","34,819","3.7%","127,260","149,039","12.7%","155,166","69,707","14.0%","157,562","33,217","4.5%","112,911"
"            Native Hawaiian and Other Pacific Islander","N","N","70,981","N","N","-","N","N","-","N","N","N","N","N","-","N","N","N","N","N","-","N","N","-","N","N","-","N","N","N","N","N","50,178","N","N","250,000+","N","N","108,318","N","N","85,863","8,783","0.3%","100,703","N","N","36,394","N","N","-","N","N","107,767","N","N","N","N","N","N","N","N","-","N","N","N","N","N","-","N","N","-","N","N","-","N","N","-","N","N","131,194","N","N","N","N","N","-","N","N","N","N","N","85,528","N","N","119,256","N","N","N","N","N","201,389","N","N","250,000+","N","N","-","N","N","N"
"            Some other race","79,325","4.3%","63,430","27,918","5.3%","71,153","38,126","4.6%","75,722","51,195","5.3%","78,369","N","N","70,237","250,704","8.7%","67,956","19,305","7.0%","89,505","21,615","8.3%","92,758","14,773","5.2%","72,024","152,471","7.4%","72,226","50,101","5.2%","72,127","13,742","1.9%","46,925","11,730","1.1%","87,712","116,823","10.6%","90,779","684,005","19.6%","74,533","42,858","5.7%","68,997","87,758","8.8%","69,265","48,388","7.8%","65,948","60,746","6.4%","73,784","70,226","7.2%","126,748","93,344","11.2%","70,908","670,426","14.1%","58,422","28,141","5.7%","60,580","18,072","2.3%","94,880","46,332","5.0%","44,820","11,548","4.0%","71,983","109,333","10.6%","89,603","44,615","7.0%","92,305","N","N","93,932","11,160","3.4%","80,252","35,704","3.7%","79,296","12,469","3.4%","64,698","9,253","2.1%","52,307","57,182","6.1%","65,121","62,544","5.3%","91,972","36,479","7.3%","100,833","50,725","6.8%","81,957"
"        Two or more races","136,108","7.3%","86,484","35,452","6.7%","95,534","75,048","9.0%","93,658","92,096","9.6%","88,049","7,179","3.9%","127,438","258,537","9.0%","87,909","35,288","12.8%","92,011","20,755","8.0%","112,359","22,834","8.0%","86,768","280,762","13.7%","86,919","143,469","14.9%","80,366","39,348","5.6%","56,526","52,430","4.9%","81,927","158,698","14.5%","109,298","581,086","16.7%","87,141","171,074","22.6%","83,994","512,290","51.1%","72,033","82,666","13.3%","84,469","66,769","7.1%","101,371","79,390","8.2%","139,023","85,637","10.3%","91,507","547,510","11.5%","80,457","30,509","6.2%","86,970","39,936","5.0%","111,749","61,146","6.7%","68,144","19,215","6.6%","77,863","114,966","11.2%","125,535","66,726","10.5%","136,986","10,280","10.1%","133,011","27,891","8.5%","108,580","92,390","9.5%","111,470","38,502","10.6%","93,128","37,098","8.5%","78,350","145,507","15.4%","73,853","114,077","9.7%","124,752","42,550","8.6%","142,531","65,406","8.8%","114,561"
"        Hispanic or Latino origin (of any race)","178,343","9.6%","75,471","54,184","10.2%","85,440","89,537","10.8%","81,456","109,887","11.5%","76,952","N","N","129,863","532,087","18.6%","76,944","58,307","21.1%","94,130","50,563","19.4%","87,488","42,057","14.7%","76,843","483,063","23.5%","78,258","216,814","22.6%","78,389","35,327","5.0%","60,138","36,803","3.4%","87,263","288,659","26.3%","97,686","1,354,162","38.8%","79,449","232,819","30.8%","80,852","701,287","70.0%","72,082","127,855","20.5%","74,345","129,106","13.7%","81,895","149,498","15.4%","127,432","173,607","20.9%","76,620","1,247,919","26.3%","62,429","52,985","10.7%","69,071","44,975","5.6%","97,337","96,464","10.5%","55,078","23,156","8.0%","67,266","200,520","19.5%","99,650","100,318","15.7%","108,448","13,392","13.1%","98,235","28,310","8.7%","92,139","81,878","8.4%","87,328","37,160","10.3%","85,494","38,971","9.0%","77,669","215,611","22.9%","73,883","161,656","13.8%","105,826","70,403","14.2%","110,425","94,834","12.7%","94,577"
"        White alone, not Hispanic or Latino","774,966","41.6%","106,999","322,970","61.1%","110,004","542,477","65.3%","128,025","667,550","69.8%","131,860","165,597","90.6%","109,568","1,498,148","52.3%","105,005","182,455","66.1%","106,027","160,888","61.6%","120,829","183,135","63.8%","84,946","916,993","44.7%","113,426","501,767","52.2%","100,415","352,982","49.9%","76,915","812,901","76.0%","91,505","495,404","45.1%","125,995","1,110,342","31.9%","110,365","279,145","36.9%","90,596","140,521","14.0%","116,657","363,864","58.4%","94,846","608,878","64.4%","113,802","644,207","66.4%","134,764","408,643","49.2%","136,516","1,858,273","39.2%","122,769","324,693","65.5%","112,163","628,208","78.5%","119,383","398,922","43.4%","91,590","179,094","61.6%","98,534","388,803","37.7%","141,469","270,347","42.4%","178,841","73,128","71.7%","162,244","220,590","67.6%","107,094","556,027","57.3%","125,605","241,907","66.8%","102,847","331,254","76.2%","76,891","545,964","57.9%","84,815","657,085","56.0%","154,121","254,345","51.1%","153,309","196,053","26.3%","145,418"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    15 to 24 years","56,335","3.0%","51,448","17,505","3.3%","58,016","26,028","3.1%","60,946","25,371","2.7%","80,574","4,156","2.3%","45,685","86,971","3.0%","48,432","7,066","2.6%","51,748","7,129","2.7%","49,043","7,541","2.6%","53,971","86,123","4.2%","54,300","36,768","3.8%","50,986","21,140","3.0%","31,536","21,986","2.1%","56,634","27,432","2.5%","73,015","90,137","2.6%","50,208","15,058","2.0%","43,931","23,876","2.4%","38,418","13,431","2.2%","56,935","13,901","1.5%","61,499","8,502","0.9%","59,890","12,902","1.6%","60,733","128,134","2.7%","62,101","7,701","1.6%","48,246","14,022","1.8%","62,736","34,159","3.7%","39,914","6,693","2.3%","61,735","25,171","2.4%","42,024","20,168","3.2%","91,210","2,005","2.0%","93,627","7,712","2.4%","61,095","38,359","4.0%","61,251","14,526","4.0%","74,322","8,822","2.0%","48,359","29,093","3.1%","46,211","31,755","2.7%","66,528","10,376","2.1%","52,446","29,016","3.9%","45,406"
"    25 to 44 years","678,001","36.4%","93,033","180,157","34.1%","112,433","297,855","35.9%","135,941","323,791","33.8%","143,313","50,841","27.8%","130,977","1,014,534","35.4%","99,093","90,736","32.8%","106,094","78,052","29.9%","114,964","88,101","30.7%","82,955","807,528","39.3%","100,522","365,300","38.0%","90,823","225,394","31.9%","61,938","325,533","30.4%","97,368","346,271","31.5%","128,959","1,219,708","35.0%","100,492","223,739","29.6%","90,673","331,948","33.1%","87,984","153,925","24.7%","94,687","266,238","28.2%","130,263","237,755","24.5%","155,536","260,721","31.4%","115,227","1,669,770","35.2%","110,253","155,473","31.4%","109,226","239,203","29.9%","131,789","353,728","38.5%","74,447","90,229","31.0%","97,361","347,306","33.7%","150,713","247,008","38.7%","192,792","22,457","22.0%","179,994","125,449","38.4%","127,030","421,875","43.5%","141,851","135,666","37.5%","107,607","110,869","25.5%","91,665","319,760","33.9%","93,131","432,432","36.9%","138,672","156,513","31.5%","135,116","289,403","38.8%","110,568"
"    45 to 64 years","710,485","38.2%","107,019","208,904","39.5%","123,334","284,955","34.3%","136,959","341,642","35.7%","150,293","69,078","37.8%","138,987","1,005,587","35.1%","106,678","104,727","37.9%","126,273","103,179","39.5%","131,076","101,749","35.5%","89,324","750,304","36.6%","115,585","350,588","36.5%","103,807","254,319","35.9%","69,325","394,636","36.9%","111,914","422,729","38.5%","134,102","1,296,605","37.2%","101,420","300,051","39.7%","94,467","390,092","38.9%","86,724","218,577","35.1%","99,241","360,610","38.2%","145,016","399,121","41.1%","158,845","332,832","40.1%","128,414","1,653,458","34.9%","96,095","185,615","37.5%","122,019","299,331","37.4%","149,739","293,289","31.9%","77,222","108,319","37.3%","107,549","387,965","37.7%","150,079","203,540","31.9%","169,589","36,077","35.4%","206,755","113,984","34.9%","127,811","308,331","31.8%","147,856","122,455","33.8%","123,440","145,666","33.5%","93,816","330,325","35.0%","97,199","448,256","38.2%","171,271","193,176","38.8%","168,085","254,924","34.2%","125,231"
