table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Annual Estimates of the Resident Population for Metropolitan Statistical Areas in the United States and Puerto Rico: April 1, 2020 to July 1, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,2021,2022,2023,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,"331,515,736","331,577,720","332,099,760","334,017,321","336,806,231","340,110,988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.In Metropolitan Statistical Area,"285,704,690","285,783,290","286,241,853","288,096,651","290,714,404","293,884,621",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Abilene, TX Metro Area","176,611","176,926","177,918","180,072","182,838","184,278",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Akron, OH Metro Area","702,211","701,689","696,602","698,506","700,094","702,209",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Albany, GA Metro Area","148,914","148,253","144,976","145,873","145,538","145,451",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Albany, OR Metro Area","128,609","128,967","130,062","130,516","131,509","132,474",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Albany-Schenectady-Troy, NY Metro Area","899,246","899,778","905,557","904,216","907,223","913,485",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Albuquerque, NM Metro Area","916,669","917,747","919,682","920,200","923,477","926,303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Alexandria, LA Metro Area","152,192","151,811","150,910","148,999","148,382","148,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Allentown-Bethlehem-Easton, PA-NJ Metro Area","861,898","861,575","870,124","871,414","878,487","886,418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Altoona, PA Metro Area","122,821","122,664","122,160","120,796","120,494","120,269",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Amarillo, TX Metro Area","268,705","269,051","269,858","270,751","272,981","274,650",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Ames, IA Metro Area","125,246","125,353","126,453","126,565","128,068","129,227",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Amherst Town-Northampton, MA Metro Area","162,308","148,589","165,069","165,397","165,686","165,399",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Anchorage, AK Metro Area","398,324","398,427","399,924","401,025","403,228","407,213",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Ann Arbor, MI Metro Area","372,258","371,849","365,041","367,947","370,398","373,875",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Anniston-Oxford, AL Metro Area","116,437","116,242","115,633","115,744","116,403","116,427",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Appleton, WI Metro Area","243,142","243,451","243,961","245,306","247,131","248,992",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Asheville, NC Metro Area","406,927","407,570","410,887","414,360","418,404","422,333",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Athens-Clarke County, GA Metro Area","215,416","215,715","218,338","220,609","222,637","223,689",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Atlanta-Sandy Springs-Roswell, GA Metro Area","6,106,805","6,121,086","6,160,570","6,253,070","6,336,015","6,411,149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"..Atlanta-Sandy Springs-Roswell, GA Metro Division","4,766,650","4,777,597","4,803,493","4,874,423","4,937,012","4,991,637",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
