State/Parent NTD ID,NTD ID,Legacy NTD ID,Agency Name,Division/Department,Reporter Acronym,Doing Business As,Reporter Type,Reporting Module,Organization Type,Reported By NTD ID,Reported by Name,Public Sponsor,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,P.O. Box,City,State,Zip Code,Zip Code Ext,Region,URL,FTA Recipient ID,UEID, Service Area Sq Miles , Service Area Pop ,Primary UZA UACE Code,UZA Name,Tribal Area Name, Population , Density , Sq Miles , VOMS DO , VOMS PT , Total VOMS ,Volunteer Drivers,Personal Vehicles,TAM Tier,Number of State Counties,Number of Counties with Service, State Admin Funds Expended 
,00001,0001,King County,Metro Transit Department,KCM,King County Metro,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,,12/31/24,4/30/25,201 S Jackson St,,,Seattle,WA,98104,3854,10,http://metro.kingcounty.gov/,1731,E1D1LQ5QENJ8," 2,134 "," 2,347,800 ",80389,"Seattle--Tacoma, WA",," 3,544,011 "," 3,607.1 ", 982.5 ," 1,849 ", 503 ," 2,352 ",,,Tier I (Rail),,,
,00002,0002,Spokane Transit Authority,,STA,,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,,12/31/24,4/30/25,1230 W Boone Ave,,,Spokane,WA,99201,2658,10,http://www.spokanetransit.com/,1733,QV32KQAKHCE3, 248 ," 475,470 ",83764,"Spokane, WA",," 447,279 "," 2,605.4 ", 171.7 , 278 , 38 , 316 ,,,Tier I (Fixed Route VOMS),,,
,00003,0003,Pierce County Transportation Benefit Area Authority,,,Pierce Transit,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,,12/31/24,4/30/25,3701 96Th St Sw,,99070,Lakewood,WA,98499,4431,10,http://www.piercetransit.org/,1730,QACHE3STYGK3, 292 ," 575,963 ",80389,"Seattle--Tacoma, WA",," 3,544,011 "," 3,607.1 ", 982.5 , 341 , 75 , 416 ,,,Tier I (Fixed Route VOMS),,,
,00004,0T04,Confederated Tribes of the Colville Indian Reservation,,,,Reduced Reporter,Tribe,Tribe,,,,,9/30/24,1/31/25,21 COLVILLE Street,,150,Nespelem,WA,99155,,10,https://www.colvilletribes.com/transit-inchelium-ferry,6683,NU9UAKLRDDP1,,,00053,Washington Non-UZA,"Colville Reservation and Off-Reservation Trust Land, WA"," 1,895,776 ", -   , -   , 5 ,, 5 ,,,Tier II,,,
,00005,0005,City of Everett,,ET,Everett Transit,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,,12/31/24,4/30/25,3201 Smith Ave Ste 215,,,Everett,WA,98201,4594,10,http://www.everetttransit.org/,1743,NB35N2NU35J3, 34 ," 111,180 ",80389,"Seattle--Tacoma, WA",," 3,544,011 "," 3,607.1 ", 982.5 , 50 ,, 50 ,,,Tier II,,,
,00006,0006,City of Yakima,,YT,Yakima Transit,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,,12/31/24,4/30/25,129 N 2Nd St,,,Yakima,WA,98901,2613,10,http://www.yakimatransit.org/,1750,FJNNX1XFJ9K3, 33 ," 100,716 ",97507,"Yakima, WA",," 133,145 "," 2,387.4 ", 55.8 , 18 , 25 , 43 ,,,Tier II,,,
,00007,0007,Lane Transit District,,LTD,,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,,6/30/24,10/31/24,3500 E 17Th Ave,,,Eugene,OR,97403,2375,10,http://www.ltd.org/,1738,U5LFCFM1A8J5, 482 ," 327,173 ",28117,"Eugene, OR",," 270,179 "," 3,676.6 ", 73.5 , 66 , 75 , 141 ,,,Tier II,,,
,00008,0008,Tri-County Metropolitan Transportation District of Oregon,,,TriMet,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,,6/30/24,10/31/24,101 Sw Main St Ste 700,,,Portland,OR,97204,3240,10,http://www.trimet.org/,1728,YXFYCBFAF5S3, 376 ," 1,512,100 ",71317,"Portland, OR--WA",," 2,104,238 "," 4,052.1 ", 519.3 , 561 , 243 , 804 ,,,Tier I (Rail),,,
,00009,0T09,Kalispel Tribe of Indians,,KTI,,Reduced Reporter,Tribe,Tribe,,,,,12/31/24,4/30/25,1981 Leclerc Rd N,,39,Cusick,WA,99119,9682,10,http://www.kalispeltribe.com/,6680,XY4MRBMRTWL5,,,00053,Washington Non-UZA,"Kalispel Reservation and Off-Reservation Trust Land, WA"," 1,895,776 ", -   , -   ,,,,,,Tier II,,,
,00010,0T10,Klamath Tribes,Planning Department,,Quail Trail,Reduced Reporter,Tribe,Tribe,,,,,12/31/24,4/30/25,501 S. Chiloquin Blvd.,,436,Chiloquin,OR,97624,6773,10,https://klamathtribes.org/planning-and-enterprise-department/,6806,SH4JJFWHQHH4,,,00041,Oregon Non-UZA,"Klamath Reservation, OR"," 1,553,447 ", -   , -   , 7 ,, 7 ,,,Tier II,,,
