Agency,UZA_Name,UACE_Code,Report_Year,Mode_Name,UZA_Area(Sq Miles),UZA_Pop,Service_Area(Sq Miles),Service_Area_Pop,Time_Period,VRM,VRH,UPT
"King County, dba: King County Metro","Seattle--Tacoma, WA",80389.0,2024,Demand Response,982.52,3544011.0,2134.0,2347800.0,Annual Total,7835166.0,656203.0,1045365.0
"King County, dba: King County Metro","Seattle--Tacoma, WA",80389.0,2024,Demand Response,982.52,3544011.0,2134.0,2347800.0,Annual Total,1293595.0,55043.0,111550.0
"King County, dba: King County Metro","Seattle--Tacoma, WA",80389.0,2024,Ferryboat,982.52,3544011.0,2134.0,2347800.0,Annual Total,63622.0,6189.0,446838.0
"King County, dba: King County Metro","Seattle--Tacoma, WA",80389.0,2024,Bus,982.52,3544011.0,2134.0,2347800.0,Annual Total,30848533.0,2984239.0,72304880.0
"King County, dba: King County Metro","Seattle--Tacoma, WA",80389.0,2024,Bus,982.52,3544011.0,2134.0,2347800.0,Annual Total,1163529.0,94143.0,814412.0
"King County, dba: King County Metro","Seattle--Tacoma, WA",80389.0,2024,Streetcar Rail,982.52,3544011.0,2134.0,2347800.0,Annual Total,174111.0,36694.0,1492360.0
"King County, dba: King County Metro","Seattle--Tacoma, WA",80389.0,2024,Trolleybus,982.52,3544011.0,2134.0,2347800.0,Annual Total,2370600.0,357178.0,11025543.0
"King County, dba: King County Metro","Seattle--Tacoma, WA",80389.0,2024,Vanpool,982.52,3544011.0,2134.0,2347800.0,Annual Total,7898463.0,256334.0,1397763.0
Spokane Transit Authority,"Spokane, WA",83764.0,2024,Demand Response,171.67,447279.0,248.0,475470.0,Annual Total,1252409.0,80605.0,204442.0
Spokane Transit Authority,"Spokane, WA",83764.0,2024,Demand Response,171.67,447279.0,248.0,475470.0,Annual Total,1232917.0,81346.0,186514.0
Spokane Transit Authority,"Spokane, WA",83764.0,2024,Bus,171.67,447279.0,248.0,475470.0,Annual Total,7146245.0,524059.0,10166876.0
Spokane Transit Authority,"Spokane, WA",83764.0,2024,Vanpool,171.67,447279.0,248.0,475470.0,Annual Total,1096062.0,32585.0,103270.0
"Pierce County Transportation Benefit Area Authority, dba: Pierce Transit","Seattle--Tacoma, WA",80389.0,2024,Demand Response,982.52,3544011.0,292.0,575963.0,Annual Total,253977.0,18544.0,37428.0
"Pierce County Transportation Benefit Area Authority, dba: Pierce Transit","Seattle--Tacoma, WA",80389.0,2024,Demand Response,982.52,3544011.0,292.0,575963.0,Annual Total,2428510.0,176674.0,322972.0
"Pierce County Transportation Benefit Area Authority, dba: Pierce Transit","Seattle--Tacoma, WA",80389.0,2024,Bus,982.52,3544011.0,292.0,575963.0,Annual Total,4524583.0,403238.0,6774524.0
"Pierce County Transportation Benefit Area Authority, dba: Pierce Transit","Seattle--Tacoma, WA",80389.0,2024,Vanpool,982.52,3544011.0,292.0,575963.0,Annual Total,3206018.0,95009.0,362661.0
Confederated Tribes of the Colville Indian Reservation,Washington Non-UZA,53.0,2024,Ferryboat,0.0,1895776.0,,,Annual Total,20706.0,5368.0,137731.0
Confederated Tribes of the Colville Indian Reservation,Washington Non-UZA,53.0,2024,Bus,0.0,1895776.0,,,Annual Total,59845.0,1797.0,1958.0
"City of Everett, dba: Everett Transit","Seattle--Tacoma, WA",80389.0,2024,Demand Response,982.52,3544011.0,34.0,111180.0,Annual Total,412193.0,36791.0,83305.0
"City of Everett, dba: Everett Transit","Seattle--Tacoma, WA",80389.0,2024,Bus,982.52,3544011.0,34.0,111180.0,Annual Total,1274180.0,108748.0,1751902.0
"City of Yakima, dba: Yakima Transit","Yakima, WA",97507.0,2024,Commuter Bus,55.77,133145.0,33.0,100716.0,Annual Total,144142.0,4535.0,34140.0
"City of Yakima, dba: Yakima Transit","Yakima, WA",97507.0,2024,Demand Response,55.77,133145.0,33.0,100716.0,Annual Total,328802.0,31910.0,53347.0
"City of Yakima, dba: Yakima Transit","Yakima, WA",97507.0,2024,Bus,55.77,133145.0,33.0,100716.0,Annual Total,672452.0,46976.0,653426.0
Lane Transit District,"Eugene, OR",28117.0,2024,Demand Response,73.49,270179.0,482.0,327173.0,Annual Total,804219.0,63365.0,125684.0
Lane Transit District,"Eugene, OR",28117.0,2024,Demand Response,73.49,270179.0,482.0,327173.0,Annual Total,2424895.0,98953.0,272993.0
Lane Transit District,"Eugene, OR",28117.0,2024,Bus,73.49,270179.0,482.0,327173.0,Annual Total,2085152.0,165200.0,3513412.0
Lane Transit District,"Eugene, OR",28117.0,2024,Bus,73.49,270179.0,482.0,327173.0,Annual Total,129301.0,5784.0,13865.0
Lane Transit District,"Eugene, OR",28117.0,2024,Bus Rapid Transit,73.49,270179.0,482.0,327173.0,Annual Total,655089.0,57971.0,2786403.0
Lane Transit District,"Eugene, OR",28117.0,2024,Vanpool,73.49,270179.0,482.0,327173.0,Annual Total,146241.0,2902.0,12632.0
