MSA_Name,UZA_Name,UACE_Code
"New York–Newark–Jersey City, NY-NJ","New York–Newark–Jersey City, NY-NJ",63217
"Los Angeles–Long Beach–Anaheim, CA","Los Angeles–Long Beach–Anaheim, CA",51445
"Chicago–Naperville–Elgin, IL-IN","Chicago, IL-IN",16264
"Dallas–Fort Worth–Arlington, TX","Dallas–Fort Worth–Arlington, TX",22042
"Houston–Pasadena–The Woodlands, TX","Houston–Pasadena–The Woodlands, TX",40429
"Miami–Fort Lauderdale–West Palm Beach, FL","Miami–Fort Lauderdale, FL",56602
"Washington–Arlington–Alexandria, DC-VA-MD-WV","Washington–Arlington, DC-VA-MD-WV",92242
"Atlanta–Sandy Springs–Roswell, GA","Atlanta, GA",03817
"Philadelphia–Camden–Wilmington, PA-NJ-DE-MD","Philadelphia, PA-NJ-DE-MD",69076
"Phoenix–Mesa–Chandler, AZ","Phoenix–Mesa–Scottsdale, AZ",69184
"Boston–Cambridge–Newton, MA-NH","Boston, MA-NH",09271
"Riverside–San Bernardino–Ontario, CA","Riverside–San Bernardino, CA",75340
"San Francisco–Oakland–Fremont, CA","San Francisco–Oakland, CA",78904
"Detroit–Warren–Dearborn, MI","Detroit, MI",23824
"Seattle–Tacoma–Bellevue, WA","Seattle–Tacoma, WA",80389
"Minneapolis–St. Paul–Bloomington, MN-WI","Minneapolis–St. Paul, MN",57628
"Tampa–St. Petersburg–Clearwater, FL","Tampa–St. Petersburg, FL",86599
"San Diego–Chula Vista–Carlsbad, CA","San Diego–Chula Vista–Carlsbad, CA",78661
"Denver–Aurora–Centennial, CO","Denver–Aurora, CO",23527
"Orlando–Kissimmee–Sanford, FL","Orlando, FL",65863
